,folds,test_auc,val_auc,test_acc,val_acc,test_f1_macro,val_f1_macro,test_bal_acc,val_bal_acc
0,0,0.4868329868329868,0.6183431952662721,0.6788321167883211,0.7692307692307692,0.47782397782397784,0.5376955903271693,0.47782397782397784,0.5384615384615385
1,1,0.579622641509434,0.532967032967033,0.732824427480916,0.7681159420289855,0.5860792633384491,0.567398119122257,0.590377358490566,0.5618131868131868
2,2,0.6487110427087343,0.5247252747252747,0.7279411764705883,0.7246376811594203,0.5535444947209653,0.5625625625625625,0.5592535590611774,0.5645604395604396
3,3,0.5170527670527671,0.5186781609195402,0.7553956834532374,0.7285714285714286,0.48179824561403506,0.4214876033057851,0.49967824967824964,0.4396551724137931
4,4,0.6941986234021633,0.6909090909090909,0.7642857142857142,0.7794117647058824,0.5631205673758866,0.6075413620623317,0.5580137659783677,0.5993006993006993
