,folds,test_auc,val_auc,test_acc,val_acc,test_f1_macro,val_f1_macro,test_bal_acc,val_bal_acc
0,0,0.6749826749826751,0.5266272189349113,0.7883211678832117,0.7230769230769231,0.6396371882086167,0.5075757575757576,0.6337491337491338,0.5096153846153846
1,1,0.7732075471698113,0.7225274725274726,0.8015267175572519,0.7971014492753623,0.6880952380952381,0.6863636363636363,0.6939622641509434,0.6978021978021978
2,2,0.7379761446710273,0.7376373626373627,0.7647058823529411,0.7536231884057971,0.6578616352201259,0.6463671992764546,0.7025779145825317,0.6710164835164836
3,3,0.7216859716859717,0.7270114942528736,0.7482014388489209,0.8,0.6234811547093878,0.6479885057471264,0.6287001287001287,0.6479885057471264
4,4,0.6689609963946247,0.737062937062937,0.7714285714285715,0.7205882352941176,0.6520658589624106,0.6198882024124742,0.6610947230416256,0.651048951048951
