,folds,test_auc,val_auc,test_acc,val_acc,test_f1_macro,val_f1_macro,test_bal_acc,val_bal_acc
0,0,0.6540600667408231,0.4792626728110599,0.803921568627451,0.7894736842105263,0.5686090225563909,0.5393939393939394,0.5620133481646274,0.5391705069124424
1,1,0.7121802002224694,0.7119815668202765,0.8169934640522876,0.7763157894736842,0.694,0.5930708661417323,0.6889599555061179,0.586405529953917
2,2,0.6615684093437152,0.6578341013824885,0.7712418300653595,0.7763157894736842,0.5882352941176471,0.6377908606672273,0.5814794215795328,0.6417050691244239
3,3,0.6843715239154616,0.6278801843317972,0.7189542483660131,0.7236842105263157,0.5702527924750147,0.552565180824222,0.5756395995550612,0.554147465437788
4,4,0.646201289599103,0.663594470046083,0.736842105263158,0.7105263157894737,0.6041666666666667,0.5431693989071038,0.6134006167647883,0.5460829493087558
