,folds,test_auc,val_auc,test_acc,val_acc,test_f1_macro,val_f1_macro,test_bal_acc,val_bal_acc
0,0,0.6888426888426888,0.5118343195266273,0.8175182481751825,0.8153846153846154,0.5905558876270174,0.5723684210526316,0.5781358281358282,0.5673076923076923
1,1,0.8150943396226414,0.6510989010989011,0.7633587786259541,0.6376811594202898,0.6891695369307309,0.5532245532245532,0.7467924528301887,0.5995879120879121
2,2,0.7033474413235861,0.6991758241758242,0.8088235294117647,0.7536231884057971,0.6189655172413793,0.6086086086086087,0.6079261254328587,0.6119505494505495
3,3,0.6058558558558559,0.5933908045977012,0.7769784172661871,0.7857142857142857,0.4933568489124045,0.44,0.5131917631917632,0.47413793103448276
4,4,0.7174696820714519,0.7804195804195804,0.7714285714285715,0.7941176470588236,0.6428571428571428,0.7006289308176101,0.6470009832841691,0.7258741258741259
